Year,Region,Technology,value
2020,DE,SolarPV,44.0
2030,DE,SolarPV,17.75
2040,DE,SolarPV,95.75
2050,DE,SolarPV,266.25
2020,FR,SolarPV,40.0
2030,FR,SolarPV,15.25
2040,FR,SolarPV,123.25
2050,FR,SolarPV,427.75
2020,NO,SolarPV,3.5
2030,NO,SolarPV,0.9375
2040,NO,SolarPV,19.4375
2050,NO,SolarPV,41.5625
2020,DK,SolarPV,12.0
2030,DK,SolarPV,4.25
2040,DK,SolarPV,30.25
2050,DK,SolarPV,78.75
2020,UK,SolarPV,22.0
2030,UK,SolarPV,9.5
2040,UK,SolarPV,71.5
2050,UK,SolarPV,305.5
2020,DE,CoalMine,0.0
2030,DE,CoalMine,0.0
2040,DE,CoalMine,0.0
2050,DE,CoalMine,0.0
2020,FR,CoalMine,0.0
2030,FR,CoalMine,0.0
2040,FR,CoalMine,0.0
2050,FR,CoalMine,0.0
2020,NO,CoalMine,0.0
2030,NO,CoalMine,0.0
2040,NO,CoalMine,0.0
2050,NO,CoalMine,0.0
2020,DK,CoalMine,0.0
2030,DK,CoalMine,0.0
2040,DK,CoalMine,0.0
2050,DK,CoalMine,0.0
2020,UK,CoalMine,0.0
2030,UK,CoalMine,0.0
2040,UK,CoalMine,0.0
2050,UK,CoalMine,0.0
2020,DE,GasExtractor,38.713989128517056
2030,DE,GasExtractor,0.0
2040,DE,GasExtractor,36.224625171067714
2050,DE,GasExtractor,0.0
2020,FR,GasExtractor,0.0
2030,FR,GasExtractor,0.0
2040,FR,GasExtractor,0.0
2050,FR,GasExtractor,0.0
2020,NO,GasExtractor,0.0
2030,NO,GasExtractor,0.0
2040,NO,GasExtractor,0.0
2050,NO,GasExtractor,7.065645946737529
2020,DK,GasExtractor,0.0
2030,DK,GasExtractor,0.0
2040,DK,GasExtractor,0.0
2050,DK,GasExtractor,0.0
2020,UK,GasExtractor,0.0
2030,UK,GasExtractor,0.0
2040,UK,GasExtractor,0.0
2050,UK,GasExtractor,0.0
2020,DE,CoalPowerPlant,-0.0
